symbol,announce_ts,delist_ts,notice_h,pre_abn_pct,post_abn_pct,incremental_pct,pre_turnover_usd,post_turnover_usd,bars_pre,bars_post
HIGHUSDT,2026-07-17T09:07:43+00:00,2026-07-20T09:00:00+00:00,71.9,-6.951,0.081,7.032,378115.0,74607.0,48,3
PUMPBTCUSDT,2026-07-17T09:07:49+00:00,2026-07-20T09:00:00+00:00,71.9,-1.862,-0.176,1.686,140039.0,5178.0,48,3
WHITEWHALEUSDT,2026-07-17T09:07:53+00:00,2026-07-20T09:00:00+00:00,71.9,-7.829,-6.393,1.436,504760.0,120623.0,48,3
ESUSDT,2026-07-08T09:02:42+00:00,2026-07-10T09:00:00+00:00,48.0,-26.553,-6.593,19.961,3540501.0,504266.0,48,48
SWARMSUSDT,2026-07-08T09:02:22+00:00,2026-07-10T09:00:00+00:00,48.0,-7.178,2.315,9.493,305930.0,459400.0,48,48
SCRUSDT,2026-07-08T09:02:04+00:00,2026-07-10T09:00:00+00:00,48.0,-7.294,2.098,9.393,80231.0,126413.0,48,48
MBOXUSDT,2026-06-24T11:33:10+00:00,2026-06-26T11:30:00+00:00,47.9,-0.933,-8.466,-7.533,2016664.0,288039.0,48,48
SOLVUSDT,2026-06-24T11:32:43+00:00,2026-06-26T11:30:00+00:00,48.0,-3.701,-2.217,1.484,159468.0,398711.0,48,48
MLNUSDT,2026-06-24T11:31:47+00:00,2026-06-26T11:30:00+00:00,48.0,-5.291,2.413,7.704,154064.0,235349.0,48,48
IPUSDT,2026-06-23T07:02:51+00:00,2026-06-26T07:00:00+00:00,72.0,-2.998,5.182,8.181,21836071.0,10397631.0,48,48
XIONUSDT,2026-06-16T09:07:15+00:00,2026-06-18T09:00:00+00:00,47.9,8.339,8.337,-0.002,563863.0,711754.0,48,47
TONUSDT,2026-06-11T10:01:14+00:00,2026-06-15T09:00:00+00:00,95.0,-4.103,1.542,5.645,149327089.0,58703715.0,48,48
SCUSDT,2026-06-09T09:07:42+00:00,2026-06-11T09:00:00+00:00,47.9,-0.931,3.61,4.541,196694.0,220625.0,48,47
ORBSUSDT,2026-06-09T09:06:57+00:00,2026-06-11T09:00:00+00:00,47.9,-3.541,5.279,8.82,433329.0,776978.0,48,48
GODSUSDT,2026-06-09T09:01:05+00:00,2026-06-11T09:00:00+00:00,48.0,-2.896,-0.455,2.441,51220.0,202033.0,48,47
PYRUSDT,2026-06-09T09:00:12+00:00,2026-06-11T09:00:00+00:00,48.0,-5.517,-0.843,4.674,244310.0,177165.0,48,48
OLUSDT,2026-06-01T09:05:14+00:00,2026-06-03T09:00:00+00:00,47.9,-4.399,2.027,6.426,457741.0,342099.0,48,47
