ts,symbol,order_type,direction,qty,usd_value,limit_price,fill_price,mark_price,limit_filled,adverse_bps,maker_reduce_only
1783290048445,PF_DOGEUSD,PartialLiquidation,Buy,264.0,20.69,0.078961,0.078365,0.07826300865,False,13.032,False
1783290060374,PF_DOGEUSD,PartialLiquidation,Buy,264.0,20.66,0.078961,0.078272,0.07826230479,False,1.239,False
1783290074374,PF_DOGEUSD,PartialLiquidation,Buy,211.0,16.52,0.078961,0.078277,0.0782555611,False,2.74,False
1783290084375,PF_DOGEUSD,PartialLiquidation,Buy,211.0,16.53,0.078994,0.078332,0.0783320759,False,-0.01,False
1783290094375,PF_DOGEUSD,PartialLiquidation,Buy,211.0,16.52,0.07899,0.078295,0.07831113995,False,-2.061,False
1783290104374,PF_DOGEUSD,PartialLiquidation,Buy,211.0,16.52,0.078961,0.0783,0.07827743428,False,2.883,False
1783290114374,PF_DOGEUSD,PartialLiquidation,Buy,211.0,16.53,0.078961,0.078352,0.07832390264,False,3.587,False
1783290124374,PF_DOGEUSD,PartialLiquidation,Buy,211.0,16.53,0.078961,0.078331,0.07832699181,False,0.512,False
1783290134374,PF_DOGEUSD,PartialLiquidation,Buy,211.0,16.54,0.078961,0.078368,0.07833874056,False,3.735,False
1783290144375,PF_DOGEUSD,PartialLiquidation,Buy,211.0,16.53,0.078961,0.078361,0.0783439321,False,2.179,False
1783290154374,PF_DOGEUSD,PartialLiquidation,Buy,211.0,16.53,0.078961,0.078342,0.07832723776,False,1.885,False
1783290164374,PF_DOGEUSD,PartialLiquidation,Buy,206.0,16.14,0.078961,0.078356,0.07834003225,False,2.038,False
1783339406399,PF_DOGEUSD,PartialLiquidation,Sell,6.0,0.45,0.075262,0.07567,0.07595350118,False,37.326,False
1783339406559,PF_DOGEUSD,PartialLiquidation,Sell,6.0,0.45,0.075241,0.075666,0.07595350118,False,37.852,False
1783339409057,PF_DOGEUSD,PartialLiquidation,Sell,8.0,0.6,0.075039,0.075507,0.07566983389,False,21.519,False
1783339416559,PF_DOGEUSD,Liquidation,Sell,46.0,3.48,0.075621,0.075622,0.0756371195,False,1.999,False
1783339419058,PF_DOGEUSD,PartialLiquidation,Sell,8.0,0.6,0.075038,0.075573,0.07557432941,False,0.176,False
1783339429060,PF_DOGEUSD,PartialLiquidation,Sell,8.0,0.6,0.075039,0.075598,0.07560674089,False,1.156,False
1783339451061,PF_DOGEUSD,PartialLiquidation,Sell,8.0,0.61,0.075039,0.075638,0.07570248817,False,8.519,False
1783339461063,PF_DOGEUSD,PartialLiquidation,Sell,8.0,0.6,0.07504,0.075605,0.0756291308,False,3.191,False
1783339471065,PF_DOGEUSD,PartialLiquidation,Sell,8.0,0.61,0.075038,0.075679,0.07565524337,False,-3.14,False
1783339482067,PF_DOGEUSD,PartialLiquidation,Sell,8.0,0.6,0.075029,0.075616,0.07566271309,False,6.174,False
1783339492068,PF_DOGEUSD,PartialLiquidation,Sell,8.0,0.6,0.075031,0.075585,0.07561006398,False,3.315,False
1783339502069,PF_DOGEUSD,PartialLiquidation,Sell,8.0,0.6,0.075023,0.075501,0.07552408756,False,3.057,False
1783339512070,PF_DOGEUSD,PartialLiquidation,Sell,8.0,0.6,0.075023,0.075529,0.07556921405,False,5.321,False
1783372148665,PF_DOGEUSD,PartialLiquidation,Buy,100.0,7.76,0.078283,0.077643,0.0775679534,False,9.675,False
1783372148665,PF_DOGEUSD,PartialLiquidation,Buy,2389.0,177.72,0.078283,0.07764,0.0775679534,True,9.288,False
1783372159659,PF_DOGEUSD,PartialLiquidation,Buy,127.0,9.89,0.078288,0.077885,0.07778513167,False,12.839,False
1783372159659,PF_DOGEUSD,PartialLiquidation,Buy,2389.0,176.16,0.078288,0.07788,0.07778513167,True,12.196,False
1783372169657,PF_DOGEUSD,Liquidation,Buy,2293.0,178.61,0.077907,0.077892,0.07787331866,False,2.399,False
1783372169657,PF_DOGEUSD,Liquidation,Buy,12689.0,809.6,0.077907,0.077876,0.07787331866,True,0.344,False
1783372169657,PF_DOGEUSD,Liquidation,Buy,14898.0,172.02,0.077907,0.077873,0.07787331866,True,-0.041,False
1783372169657,PF_DOGEUSD,Liquidation,Buy,16898.0,155.74,0.077907,0.077872,0.07787331866,True,-0.169,False
1783372169657,PF_DOGEUSD,Liquidation,Buy,19107.0,171.99,0.077907,0.07786,0.07787331866,True,-1.71,False
1783434981244,PF_DOGEUSD,PartialLiquidation,Sell,246.0,18.14,0.069927,0.073733,0.07375270883,False,2.672,False
1783434981911,PF_DOGEUSD,PartialLiquidation,Sell,207.0,15.26,0.069931,0.073733,0.07375270883,False,2.672,False
1783434991238,PF_DOGEUSD,PartialLiquidation,Sell,246.0,18.13,0.069927,0.073697,0.07368286597,False,-1.918,False
